busStop_ID,busStop_X,busStop_Y
1,-5.78962,-2.9661
2,-5.78962,-1.9661
3,-5.78962,-0.9661
4,-5.78962,0.0339
5,-5.78962,1.0339
6,-5.78962,2.0339
7,-5.78962,3.0339
8,-4.78962,-3.9661
9,-4.78962,-2.9661
10,-4.78962,-1.9661
11,-4.78962,-0.9661
12,-4.78962,0.0339
13,-4.78962,1.0339
14,-4.78962,2.0339
15,-4.78962,3.0339
16,-4.78962,4.0339
17,-3.78962,-4.9661
18,-3.78962,-3.9661
19,-3.78962,-2.9661
20,-3.78962,-1.9661
21,-3.78962,-0.9661
22,-3.78962,0.0339
23,-3.78962,1.0339
24,-3.78962,2.0339
25,-3.78962,3.0339
26,-3.78962,4.0339
27,-3.78962,5.0339
28,-2.78962,-5.9661
29,-2.78962,-4.9661
30,-2.78962,-3.9661
31,-2.78962,-2.9661
32,-2.78962,-1.9661
33,-2.78962,-0.9661
34,-2.78962,0.0339
35,-2.78962,1.0339
36,-2.78962,2.0339
37,-2.78962,3.0339
38,-2.78962,4.0339
39,-2.78962,5.0339
40,-2.78962,6.0339
41,-1.78962,-5.9661
42,-1.78962,-4.9661
43,-1.78962,-3.9661
44,-1.78962,-2.9661
45,-1.78962,-1.9661
46,-1.78962,-0.9661
47,-1.78962,0.0339
48,-1.78962,1.0339
49,-1.78962,2.0339
50,-1.78962,3.0339
51,-1.78962,4.0339
52,-1.78962,5.0339
53,-1.78962,6.0339
54,-0.78962,-5.9661
55,-0.78962,-4.9661
56,-0.78962,-3.9661
57,-0.78962,-2.9661
58,-0.78962,-1.9661
59,-0.78962,-0.9661
60,-0.78962,0.0339
61,-0.78962,1.0339
62,-0.78962,2.0339
63,-0.78962,3.0339
64,-0.78962,4.0339
65,-0.78962,5.0339
66,-0.78962,6.0339
67,0.21038,-5.9661
68,0.21038,-4.9661
69,0.21038,-3.9661
70,0.21038,-2.9661
71,0.21038,-1.9661
72,0.21038,-0.9661
73,0.21038,1.0339
74,0.21038,2.0339
75,0.21038,3.0339
76,0.21038,4.0339
77,0.21038,5.0339
78,0.21038,6.0339
79,1.21038,-5.9661
80,1.21038,-4.9661
81,1.21038,-3.9661
82,1.21038,-2.9661
83,1.21038,-1.9661
84,1.21038,-0.9661
85,1.21038,0.0339
86,1.21038,1.0339
87,1.21038,2.0339
88,1.21038,3.0339
89,1.21038,4.0339
90,1.21038,5.0339
91,1.21038,6.0339
92,2.21038,-5.9661
93,2.21038,-4.9661
94,2.21038,-3.9661
95,2.21038,-2.9661
96,2.21038,-1.9661
97,2.21038,-0.9661
98,2.21038,0.0339
99,2.21038,1.0339
100,2.21038,2.0339
101,2.21038,3.0339
102,2.21038,4.0339
103,2.21038,5.0339
104,2.21038,6.0339
105,3.21038,-5.9661
106,3.21038,-4.9661
107,3.21038,-3.9661
108,3.21038,-2.9661
109,3.21038,-1.9661
110,3.21038,-0.9661
111,3.21038,0.0339
112,3.21038,1.0339
113,3.21038,2.0339
114,3.21038,3.0339
115,3.21038,4.0339
116,3.21038,5.0339
117,3.21038,6.0339
118,4.21038,-4.9661
119,4.21038,-3.9661
120,4.21038,-2.9661
121,4.21038,-1.9661
122,4.21038,-0.9661
123,4.21038,0.0339
124,4.21038,1.0339
125,4.21038,2.0339
126,4.21038,3.0339
127,4.21038,4.0339
128,5.21038,-3.9661
129,5.21038,-2.9661
130,5.21038,-1.9661
131,5.21038,-0.9661
132,5.21038,0.0339
133,5.21038,1.0339
134,5.21038,2.0339
135,5.21038,3.0339
136,5.21038,4.0339
137,6.21038,-1.9661
138,6.21038,-0.9661
139,6.21038,0.0339
140,6.21038,1.0339
141,6.21038,2.0339
