busStop_ID,busStop_X,busStop_Y
1,-5.78962,-3.5661
2,-5.78962,-2.3661
3,-5.78962,-1.1661
4,-5.78962,0.0339
5,-5.78962,1.2339
6,-5.78962,2.4339
7,-5.78962,3.6339
8,-4.58962,-4.7661
9,-4.58962,-3.5661
10,-4.58962,-2.3661
11,-4.58962,-1.1661
12,-4.58962,0.0339
13,-4.58962,1.2339
14,-4.58962,2.4339
15,-4.58962,3.6339
16,-4.58962,4.8339
17,-3.38962,-5.9661
18,-3.38962,-4.7661
19,-3.38962,-3.5661
20,-3.38962,-2.3661
21,-3.38962,-1.1661
22,-3.38962,0.0339
23,-3.38962,1.2339
24,-3.38962,2.4339
25,-3.38962,3.6339
26,-3.38962,4.8339
27,-2.18962,-5.9661
28,-2.18962,-4.7661
29,-2.18962,-3.5661
30,-2.18962,-2.3661
31,-2.18962,-1.1661
32,-2.18962,0.0339
33,-2.18962,1.2339
34,-2.18962,2.4339
35,-2.18962,3.6339
36,-2.18962,4.8339
37,-2.18962,6.0339
38,-0.98962,-5.9661
39,-0.98962,-4.7661
40,-0.98962,-3.5661
41,-0.98962,-2.3661
42,-0.98962,-1.1661
43,-0.98962,0.0339
44,-0.98962,1.2339
45,-0.98962,2.4339
46,-0.98962,3.6339
47,-0.98962,4.8339
48,-0.98962,6.0339
49,0.21038,-5.9661
50,0.21038,-4.7661
51,0.21038,-3.5661
52,0.21038,-2.3661
53,0.21038,-1.1661
54,0.21038,1.2339
55,0.21038,2.4339
56,0.21038,3.6339
57,0.21038,4.8339
58,0.21038,6.0339
59,1.41038,-5.9661
60,1.41038,-4.7661
61,1.41038,-3.5661
62,1.41038,-2.3661
63,1.41038,-1.1661
64,1.41038,0.0339
65,1.41038,1.2339
66,1.41038,2.4339
67,1.41038,3.6339
68,1.41038,4.8339
69,1.41038,6.0339
70,2.61038,-5.9661
71,2.61038,-4.7661
72,2.61038,-3.5661
73,2.61038,-2.3661
74,2.61038,-1.1661
75,2.61038,0.0339
76,2.61038,1.2339
77,2.61038,2.4339
78,2.61038,3.6339
79,2.61038,4.8339
80,2.61038,6.0339
81,3.81038,-4.7661
82,3.81038,-3.5661
83,3.81038,-2.3661
84,3.81038,-1.1661
85,3.81038,0.0339
86,3.81038,1.2339
87,3.81038,2.4339
88,3.81038,3.6339
89,3.81038,4.8339
90,5.01038,-3.5661
91,5.01038,-2.3661
92,5.01038,-1.1661
93,5.01038,0.0339
94,5.01038,1.2339
95,5.01038,2.4339
96,5.01038,3.6339
97,6.21038,-1.1661
98,6.21038,0.0339
99,6.21038,1.2339
100,6.21038,2.4339
