busStop_ID,busStop_X,busStop_Y
1,-5.78962,-2.6661
2,-5.78962,-1.5661
3,-5.78962,-0.4661
4,-5.78962,0.6339
5,-5.78962,1.7339
6,-5.78962,2.8339
7,-4.68962,-3.7661
8,-4.68962,-2.6661
9,-4.68962,-1.5661
10,-4.68962,-0.4661
11,-4.68962,0.6339
12,-4.68962,1.7339
13,-4.68962,2.8339
14,-4.68962,3.9339
15,-3.58962,-5.9661
16,-3.58962,-4.8661
17,-3.58962,-3.7661
18,-3.58962,-2.6661
19,-3.58962,-1.5661
20,-3.58962,-0.4661
21,-3.58962,0.6339
22,-3.58962,1.7339
23,-3.58962,2.8339
24,-3.58962,3.9339
25,-3.58962,5.0339
26,-2.48962,-5.9661
27,-2.48962,-4.8661
28,-2.48962,-3.7661
29,-2.48962,-2.6661
30,-2.48962,-1.5661
31,-2.48962,-0.4661
32,-2.48962,0.6339
33,-2.48962,1.7339
34,-2.48962,2.8339
35,-2.48962,3.9339
36,-2.48962,5.0339
37,-2.48962,6.1339
38,-1.38962,-5.9661
39,-1.38962,-4.8661
40,-1.38962,-3.7661
41,-1.38962,-2.6661
42,-1.38962,-1.5661
43,-1.38962,-0.4661
44,-1.38962,0.6339
45,-1.38962,1.7339
46,-1.38962,2.8339
47,-1.38962,3.9339
48,-1.38962,5.0339
49,-1.38962,6.1339
50,-0.28962,-5.9661
51,-0.28962,-4.8661
52,-0.28962,-3.7661
53,-0.28962,-2.6661
54,-0.28962,-1.5661
55,-0.28962,0.6339
56,-0.28962,1.7339
57,-0.28962,2.8339
58,-0.28962,3.9339
59,-0.28962,5.0339
60,-0.28962,6.1339
61,0.81038,-5.9661
62,0.81038,-4.8661
63,0.81038,-3.7661
64,0.81038,-2.6661
65,0.81038,-1.5661
66,0.81038,0.6339
67,0.81038,1.7339
68,0.81038,2.8339
69,0.81038,3.9339
70,0.81038,5.0339
71,0.81038,6.1339
72,1.91038,-5.9661
73,1.91038,-4.8661
74,1.91038,-3.7661
75,1.91038,-2.6661
76,1.91038,-1.5661
77,1.91038,-0.4661
78,1.91038,0.6339
79,1.91038,1.7339
80,1.91038,2.8339
81,1.91038,3.9339
82,1.91038,5.0339
83,1.91038,6.1339
84,3.01038,-5.9661
85,3.01038,-4.8661
86,3.01038,-3.7661
87,3.01038,-2.6661
88,3.01038,-1.5661
89,3.01038,-0.4661
90,3.01038,0.6339
91,3.01038,1.7339
92,3.01038,2.8339
93,3.01038,3.9339
94,3.01038,5.0339
95,3.01038,6.1339
96,4.11038,-4.8661
97,4.11038,-3.7661
98,4.11038,-2.6661
99,4.11038,-1.5661
100,4.11038,-0.4661
101,4.11038,0.6339
102,4.11038,1.7339
103,4.11038,2.8339
104,4.11038,3.9339
105,4.11038,5.0339
106,5.21038,-3.7661
107,5.21038,-2.6661
108,5.21038,-1.5661
109,5.21038,-0.4661
110,5.21038,0.6339
111,5.21038,1.7339
112,5.21038,2.8339
113,5.21038,3.9339
114,6.31038,-1.5661
115,6.31038,-0.4661
116,6.31038,0.6339
117,6.31038,1.7339
