passenger_ID,passenger_X,passenger_Y,passenger_StationID,passenger_DepartureTime
1,0.58192,-2.1182,1,7
2,0.84026,5.27885,1,6
3,-4.08617,0.59119,1,6
4,-5.13984,-0.49897,1,5
5,3.10891,-5.05883,1,6
6,2.32411,3.87592,1,6
7,4.35883,0.40426,1,8
8,0.55267,-4.98324,1,8
9,-2.06531,2.65411,1,7
10,-1.14498,4.2202,1,8
11,0.69875,-4.96848,1,6
12,-2.20034,-4.95325,1,6
13,3.35862,1.95613,1,7
14,-2.01961,-0.6297,1,7
15,1.02468,-3.30529,1,6
16,4.84042,-3.08531,1,8
17,3.07437,0.00357,1,7
18,3.74684,-1.01966,1,7
19,5.59035,1.55762,1,7
20,-0.72723,-1.60046,1,7
21,-3.87371,-2.74097,1,6
22,5.59383,-1.73951,1,7
23,-2.13979,-2.33324,1,7
24,4.12357,1.93848,1,7
25,-2.75207,-5.03579,1,7
26,-0.08028,2.59577,1,5
27,2.1975,-3.88409,1,7
28,5.14904,1.03134,1,9
29,-2.23804,4.45201,1,9
30,-1.89386,-3.80131,1,8
31,1.69151,2.51047,1,6
32,-2.63097,-3.44838,1,6
33,-1.25319,-3.63971,1,6
34,-0.43602,-4.26288,1,8
35,2.70742,-2.69604,1,6
36,-4.7232,2.86726,1,6
37,-0.48115,4.27935,1,6
38,-0.23205,3.5768,1,8
39,-3.57318,2.96791,1,7
40,3.20296,1.14354,1,8
41,-1.07827,-4.04608,1,6
42,3.47227,1.45133,1,5
43,4.62198,1.75343,1,8
44,-1.10282,5.87728,1,6
45,1.45788,-3.95208,1,8
46,-0.11911,5.14908,1,7
47,-2.19223,3.37381,1,6
48,2.63118,-5.09104,1,6
49,-2.1147,-1.9668,1,8
50,-0.48868,5.19846,1,5
51,-3.856,1.27921,1,9
52,2.51171,-3.21467,1,5
53,4.86414,0.02113,1,6
54,-1.3346,-3.91715,1,7
55,-3.69041,-1.62275,1,6
56,0.62801,1.37977,1,10
57,0.71835,-2.20178,1,7
58,4.54243,2.35762,1,6
59,-3.77091,2.39309,1,6
60,-4.54768,-2.25033,1,7
61,0.10353,5.87251,1,8
62,3.77773,-3.32071,1,6
63,-0.65855,-1.89984,1,7
64,1.87291,3.02754,1,7
65,2.70989,3.86091,1,7
66,2.95284,1.2108,1,8
67,-5.31518,-2.56254,1,7
68,2.24407,5.39532,1,7
69,-5.35586,-1.48267,1,8
70,-2.19687,4.93568,1,8
71,4.01628,-3.81043,1,7
72,1.92342,1.72495,1,10
73,-1.75846,3.09477,1,6
74,-3.67095,2.09767,1,8
75,-3.88383,3.4933,1,8
76,-3.76863,2.10808,1,7
77,-2.53859,0.65201,1,7
78,0.15309,-3.71765,1,6
79,-1.24174,3.4143,1,8
80,-1.94951,2.93062,1,7
81,-2.15958,1.78098,1,7
82,2.34461,3.27959,1,7
83,-1.63619,-0.87359,1,6
84,-4.31644,3.1259,1,8
85,4.66524,-2.71361,1,7
86,1.93427,-4.01737,1,7
87,0.52399,4.18589,1,6
88,0.25778,5.33369,1,7
89,1.14264,-5.55791,1,6
90,-4.65284,-1.83837,1,8
91,5.39869,0.34683,1,5
92,-3.99145,-4.24421,1,6
93,-1.50318,1.1673,1,6
94,1.23761,-5.50202,1,7
95,-0.06742,-3.40286,1,8
96,3.77918,-2.0062,1,5
