busStop_ID,busStop_X,busStop_Y
1,-6.8728,0.42
2,-5.9728,-3.18
3,-5.9728,-2.28
4,-5.9728,-1.38
5,-5.9728,-0.48
6,-5.9728,0.42
7,-5.9728,1.32
8,-5.9728,2.22
9,-5.9728,3.12
10,-5.0728,-4.08
11,-5.0728,-3.18
12,-5.0728,-2.28
13,-5.0728,-1.38
14,-5.0728,-0.48
15,-5.0728,0.42
16,-5.0728,1.32
17,-5.0728,2.22
18,-5.0728,3.12
19,-5.0728,4.02
20,-4.1728,-4.98
21,-4.1728,-4.08
22,-4.1728,-3.18
23,-4.1728,-2.28
24,-4.1728,-1.38
25,-4.1728,-0.48
26,-4.1728,0.42
27,-4.1728,1.32
28,-4.1728,2.22
29,-4.1728,3.12
30,-4.1728,4.02
31,-4.1728,4.92
32,-3.2728,-5.88
33,-3.2728,-4.98
34,-3.2728,-4.08
35,-3.2728,-3.18
36,-3.2728,-2.28
37,-3.2728,-1.38
38,-3.2728,-0.48
39,-3.2728,0.42
40,-3.2728,1.32
41,-3.2728,2.22
42,-3.2728,3.12
43,-3.2728,4.02
44,-3.2728,4.92
45,-2.3728,-5.88
46,-2.3728,-4.98
47,-2.3728,-4.08
48,-2.3728,-3.18
49,-2.3728,-2.28
50,-2.3728,-1.38
51,-2.3728,-0.48
52,-2.3728,0.42
53,-2.3728,1.32
54,-2.3728,2.22
55,-2.3728,3.12
56,-2.3728,4.02
57,-2.3728,4.92
58,-2.3728,5.82
59,-1.4728,-5.88
60,-1.4728,-4.98
61,-1.4728,-4.08
62,-1.4728,-3.18
63,-1.4728,-2.28
64,-1.4728,-1.38
65,-1.4728,-0.48
66,-1.4728,0.42
67,-1.4728,1.32
68,-1.4728,2.22
69,-1.4728,3.12
70,-1.4728,4.02
71,-1.4728,4.92
72,-1.4728,5.82
73,-1.4728,6.72
74,-0.5728,-6.78
75,-0.5728,-5.88
76,-0.5728,-4.98
77,-0.5728,-4.08
78,-0.5728,-3.18
79,-0.5728,-2.28
80,-0.5728,-1.38
81,-0.5728,-0.48
82,-0.5728,0.42
83,-0.5728,1.32
84,-0.5728,2.22
85,-0.5728,3.12
86,-0.5728,4.02
87,-0.5728,4.92
88,-0.5728,5.82
89,-0.5728,6.72
90,0.3272,-6.78
91,0.3272,-5.88
92,0.3272,-4.98
93,0.3272,-4.08
94,0.3272,-3.18
95,0.3272,-2.28
96,0.3272,-1.38
97,0.3272,1.32
98,0.3272,2.22
99,0.3272,3.12
100,0.3272,4.02
101,0.3272,4.92
102,0.3272,5.82
103,0.3272,6.72
104,1.2272,-5.88
105,1.2272,-4.98
106,1.2272,-4.08
107,1.2272,-3.18
108,1.2272,-2.28
109,1.2272,-1.38
110,1.2272,-0.48
111,1.2272,0.42
112,1.2272,1.32
113,1.2272,2.22
114,1.2272,3.12
115,1.2272,4.02
116,1.2272,4.92
117,1.2272,5.82
118,1.2272,6.72
119,2.1272,-5.88
120,2.1272,-4.98
121,2.1272,-4.08
122,2.1272,-3.18
123,2.1272,-2.28
124,2.1272,-1.38
125,2.1272,-0.48
126,2.1272,0.42
127,2.1272,1.32
128,2.1272,2.22
129,2.1272,3.12
130,2.1272,4.02
131,2.1272,4.92
132,2.1272,5.82
133,3.0272,-5.88
134,3.0272,-4.98
135,3.0272,-4.08
136,3.0272,-3.18
137,3.0272,-2.28
138,3.0272,-1.38
139,3.0272,-0.48
140,3.0272,0.42
141,3.0272,1.32
142,3.0272,2.22
143,3.0272,3.12
144,3.0272,4.02
145,3.0272,4.92
146,3.0272,5.82
147,3.9272,-4.98
148,3.9272,-4.08
149,3.9272,-3.18
150,3.9272,-2.28
151,3.9272,-1.38
152,3.9272,-0.48
153,3.9272,0.42
154,3.9272,1.32
155,3.9272,2.22
156,3.9272,3.12
157,3.9272,4.02
158,3.9272,4.92
159,4.8272,-4.98
160,4.8272,-4.08
161,4.8272,-3.18
162,4.8272,-2.28
163,4.8272,-1.38
164,4.8272,-0.48
165,4.8272,0.42
166,4.8272,1.32
167,4.8272,2.22
168,4.8272,3.12
169,4.8272,4.02
170,5.7272,-3.18
171,5.7272,-2.28
172,5.7272,-1.38
173,5.7272,-0.48
174,5.7272,0.42
175,5.7272,1.32
176,5.7272,2.22
177,5.7272,3.12
178,6.6272,-0.48
179,6.6272,0.42
