passenger_ID,passenger_X,passenger_Y,passenger_StationID,passenger_DepartureTime
1,2.5511,-5.08684,1,8
2,-1.37172,3.40187,1,6
3,3.77256,3.96665,1,7
4,1.54134,1.13205,1,7
5,-1.1421,-2.13987,1,7
6,2.96921,3.67652,1,6
7,3.97233,-2.08613,1,6
8,0.12942,4.04574,1,8
9,-0.04478,-3.68348,1,7
10,-3.69586,-3.0985,1,8
11,-2.31757,3.41557,1,6
12,-3.53323,-3.82129,1,8
13,4.4141,0.49947,1,8
14,0.42342,-4.64835,1,7
15,2.30819,4.3247,1,6
16,-4.54376,-3.87612,1,6
17,-3.88764,-3.13027,1,7
18,-3.63708,-1.72255,1,7
19,-0.5783,-5.61156,1,7
20,1.58168,-5.24883,1,7
21,1.32514,1.52726,1,8
22,-5.0938,0.74646,1,6
23,-4.59092,2.87171,1,8
24,-4.19425,3.08415,1,7
25,2.48382,-4.47368,1,8
26,1.7273,4.18605,1,7
27,0.1838,-2.53555,1,5
28,-0.52409,-5.85627,1,6
29,-3.51877,1.86499,1,7
30,2.01601,2.34687,1,9
31,-1.45114,-4.9348,1,8
32,4.23239,-4.22982,1,10
33,1.4813,2.94665,1,7
34,3.68995,3.36021,1,7
35,1.16132,4.59541,1,7
36,-4.82294,1.78865,1,6
37,-5.64254,1.43083,1,5
38,0.16365,-3.75457,1,6
39,1.6873,2.82191,1,7
40,3.21271,-2.34776,1,6
41,-5.19018,-0.7119,1,8
42,-0.94892,5.07808,1,6
43,3.95374,0.5693,1,8
44,-5.12111,-3.06852,1,9
45,1.24376,3.98841,1,8
46,-3.59839,1.38479,1,7
47,4.96395,-1.24867,1,7
48,0.66078,2.14391,1,7
49,-3.39401,2.04348,1,7
50,2.95357,-4.42082,1,8
51,5.21994,0.90142,1,8
52,-1.63635,-3.02533,1,7
53,-2.87222,0.63039,1,6
54,-2.34621,3.55668,1,5
55,-3.68099,0.00048,1,7
56,-4.73478,2.15155,1,6
57,-2.74795,-1.03979,1,5
58,2.85078,2.3017,1,7
59,-3.39918,4.38044,1,6
60,4.33834,-2.04595,1,7
61,-5.66644,-0.13821,1,7
62,-3.7397,-4.60688,1,6
63,-5.42854,1.01324,1,8
64,2.8316,-0.57871,1,7
65,3.57887,3.2114,1,6
66,-2.52821,3.45352,1,7
67,-1.69255,-3.60909,1,7
68,1.15331,-5.09494,1,7
69,-4.39338,3.28991,1,7
70,-0.29163,-5.02235,1,6
71,-1.83677,1.89121,1,8
72,4.16755,2.93289,1,9
73,2.0464,0.21906,1,5
74,1.86157,2.29935,1,8
75,5.76555,-0.46931,1,8
76,1.42128,3.72856,1,8
77,2.69008,0.13537,1,7
78,-4.56984,-2.09614,1,6
79,-2.76984,0.30937,1,7
80,-1.45642,4.6911,1,8
81,2.97088,-1.38415,1,9
82,-0.56942,-1.82268,1,7
83,-5.04871,3.01951,1,6
84,2.09437,0.31391,1,7
85,-1.60918,-4.11974,1,9
86,-1.72707,-3.2842,1,7
87,-2.58878,4.2218,1,7
88,5.46158,-0.95948,1,6
89,4.18557,-2.26087,1,5
90,-4.69711,-0.07472,1,7
91,1.41994,-2.0454,1,9
92,3.06255,-4.10469,1,7
93,-2.05992,2.21571,1,6
94,4.33169,-0.19067,1,7
95,-1.43346,1.19613,1,8
96,0.24065,-3.58287,1,7
97,-5.38724,1.53457,1,7
98,3.45037,3.03203,1,8
99,-4.22703,-1.68334,1,6
100,-1.01992,-3.69105,1,9
101,-4.19126,-3.55438,1,7
102,-1.0283,3.24337,1,9
103,1.94517,-1.64538,1,7
104,1.22729,-4.4427,1,6
105,-2.70779,1.98509,1,7
106,0.60538,3.34853,1,5
107,1.24148,-2.60071,1,8
108,-0.6251,5.31923,1,6
109,-0.31016,4.76169,1,9
110,-0.21628,1.90059,1,7
111,-3.61384,-2.85188,1,6
112,-0.76823,4.92031,1,7
113,3.66511,-4.52634,1,8
114,-1.12562,5.24506,1,7
115,-3.8349,4.14461,1,8
116,-3.38697,2.74844,1,8
117,-0.42225,-1.87455,1,6
118,2.44743,4.88153,1,7
119,0.7404,1.47024,1,6
120,-0.34877,4.54887,1,8
121,-0.99518,4.51542,1,6
122,-1.22356,-2.13632,1,6
123,2.01455,-0.55702,1,8
124,-2.45539,-3.95196,1,7
125,-3.08414,-3.02046,1,6
126,-4.02169,-0.06708,1,8
127,-0.71474,1.75563,1,7
128,1.39576,-4.65787,1,7
129,-1.85446,-1.73416,1,6
130,-1.16084,-1.1376,1,6
131,-2.66019,2.12389,1,7
132,4.10372,3.54589,1,7
133,-1.16504,2.64167,1,7
134,-0.22559,2.11178,1,6
135,-3.92382,-3.62668,1,7
136,3.54075,1.79954,1,7
137,-2.59258,1.95571,1,8
138,-3.51642,-2.74993,1,7
139,-2.93034,-1.50629,1,6
140,4.3266,-3.50463,1,7
141,3.45093,-2.58057,1,7
142,4.56912,1.55063,1,8
143,-1.13433,-5.81416,1,7
144,3.37395,-1.68499,1,8
145,-0.91904,2.99786,1,4
146,4.53057,3.84129,1,7
147,2.83092,-3.74829,1,6
148,-5.81718,-1.24182,1,5
149,1.89116,-5.60053,1,7
150,-4.82869,1.65258,1,6
151,1.43046,-0.92632,1,6
152,3.99691,-2.63775,1,7
153,-3.03615,1.20598,1,6
154,1.49614,-2.09285,1,7
155,1.35521,-3.57418,1,7
156,-2.47579,-1.69518,1,7
157,-2.4273,4.71455,1,8
158,0.1901,5.80883,1,6
159,-0.12872,-1.76763,1,7
160,0.14061,-3.29733,1,7
161,3.32521,0.42089,1,6
162,0.04848,-2.65541,1,8
163,1.60587,5.63775,1,6
164,-0.84529,3.14522,1,6
165,0.81206,-3.68942,1,6
166,-1.44313,-1.34873,1,7
167,2.68806,-1.74965,1,5
168,4.91123,-2.81516,1,7
169,3.36508,4.84519,1,4
170,-2.16087,4.4409,1,7
171,-1.48484,-3.17243,1,7
172,-0.0591,-2.06133,1,7
173,-2.63477,4.948,1,8
174,-0.28101,2.72159,1,8
175,1.28219,-3.115,1,6
176,4.55543,0.00098,1,7
177,2.26079,-2.37764,1,6
178,-4.50551,3.23393,1,9
179,-4.38169,0.02349,1,6
180,3.97742,-1.66985,1,5
181,-5.55979,-1.37522,1,9
182,-5.65885,1.05722,1,6
183,-1.0187,-3.06059,1,6
184,-1.42413,0.92479,1,5
185,-4.24198,-2.62257,1,8
186,-0.2701,-3.36282,1,7
187,1.09565,1.2379,1,8
188,-0.86517,-2.18624,1,7
189,-1.59649,3.71981,1,7
190,-0.38116,2.4846,1,7
191,-2.96521,0.66842,1,6
192,1.66931,4.96075,1,8
193,3.77605,-1.836,1,6
194,2.17626,-1.15967,1,6
195,-1.96921,-2.37474,1,7
196,-3.69848,4.46844,1,6
197,-1.57593,0.18134,1,6
198,-4.85706,-0.56759,1,8
199,4.50679,1.92255,1,8
200,1.88924,4.6518,1,6
