600 176 1 1 1 0.5 0.5 0.085 
30 24 1.23 118 11.8
3 0.8333333333333334 0.8333333333333334
0 0.0 0.0
1 0.25446 3.11087 7
2 -1.73811 -5.34941 9
3 -2.63193 1.51648 8
4 4.62366 -3.446 8
5 -1.28269 4.13383 7
6 -4.62882 -1.2126 8
7 -1.15618 5.17326 8
8 4.21378 -1.4109 7
9 -0.60798 3.44926 8
10 -1.30989 -2.62103 6
11 -1.36004 1.76786 7
12 -2.11552 -4.76413 7
13 -3.0205 -2.8321 8
14 0.3967 -2.72683 8
15 -3.96521 -4.02803 7
16 -3.26304 0.92358 7
17 -3.83597 1.23116 7
18 1.94191 2.91061 6
19 3.58214 3.26188 6
20 2.63173 3.85921 7
21 4.2858 -2.03212 7
22 -1.60534 -2.94011 8
23 2.84642 -1.93806 8
24 -2.47026 -2.16943 8
25 0.84457 3.54852 7
26 2.65926 0.20943 6
27 -2.73744 -0.58807 7
28 5.81299 -0.9959 7
29 1.59613 -5.66657 5
30 2.66323 1.23133 8
31 -1.14985 1.32219 7
32 2.0236 2.24918 8
33 -0.65073 5.04443 7
34 -2.34744 -4.80085 6
35 -0.79577 1.5462 6
36 -4.65506 -0.27664 7
37 -0.37067 1.47242 8
38 -3.73775 2.38252 7
39 -3.51351 3.39092 8
40 -5.15942 -2.98248 8
41 -5.44941 2.27717 6
42 5.41175 -0.21736 6
43 3.69966 4.23572 7
44 5.45143 1.91694 8
45 1.28751 -0.81673 7
46 -2.8157 3.18858 8
47 5.9453 0.16715 9
48 -0.02166 3.96408 6
49 1.95372 -5.08886 7
50 -0.20517 -4.54432 6
51 -3.25479 -4.20389 7
52 1.97437 -3.83644 6
53 -1.77178 0.30549 8
54 1.98496 -1.10914 7
55 -0.302 2.43318 8
56 -3.27487 0.06904 7
57 2.82242 -5.18168 5
58 -4.67201 -1.32076 6
59 0.34825 5.44895 7
60 -2.3186 3.99742 6
61 3.1152 -3.74016 8
62 -5.35522 -0.98657 5
63 -3.2777 4.77308 7
64 -4.0901 -4.04007 7
65 3.27929 4.397 7
66 -0.12622 -2.32667 6
67 -2.49241 2.86763 9
68 -1.84675 -0.19484 7
69 -2.59597 3.73504 6
70 3.36833 -4.21594 9
71 0.88809 1.78532 5
72 1.99773 -2.15096 7
73 -2.00876 -3.24804 9
74 1.3503 2.94474 7
75 2.98625 4.49071 7
76 -0.22973 3.75239 6
77 -4.57726 1.69138 7
78 4.08313 -1.49358 8
79 1.01047 -4.57406 6
80 -1.37973 5.66107 8
81 -5.77116 0.88783 7
82 2.36659 0.64721 6
83 0.90267 -5.46856 8
84 -0.8196 -3.64098 7
85 -1.48981 -1.85294 8
86 -3.10896 -2.35041 6
87 3.93817 1.9913 7
88 -5.82286 -0.88402 8
89 -3.09964 -2.27613 8
90 -1.19491 -1.1134 9
91 4.47456 -3.35312 5
92 -1.18321 2.14476 7
93 0.15423 4.28604 9
94 -5.14528 2.11256 7
95 -3.28191 -2.97514 7
96 2.48048 -3.34219 6
97 -0.22831 -5.40499 7
98 -1.70363 -0.18935 8
99 -3.5722 2.96906 7
100 -0.08978 -4.01574 7
101 -4.09553 4.32724 10
102 -4.81199 2.47833 6
103 2.00431 0.23226 8
104 -2.94245 -0.14361 6
105 1.16907 4.01901 6
106 4.983 -1.06957 8
107 -5.25208 2.82966 6
108 3.66565 0.98104 6
109 -5.7416 -0.61939 6
110 5.83647 -0.60883 9
111 -0.59973 3.95597 9
112 3.82606 4.23533 8
113 3.08364 1.9716 7
114 2.245 0.04916 9
115 -3.34356 -2.97445 7
116 -2.99349 3.94874 7
117 2.42338 -5.14931 8
118 -1.76725 -1.70366 7
